fat_id,path,start,end,size,class,note
121,/battle/bst060_tex.bin,5678592,5687320,8728,container,"in-house EZBIND"
122,/battle/bst061_mdl.bin,5687808,5711044,23236,container,"in-house EZBIND"
123,/battle/bst061_tex.bin,5711360,5720104,8744,container,"in-house EZBIND"
124,/battle/bst062_mdl.bin,5720576,5744816,24240,container,"in-house EZBIND"
125,/battle/bst062_tex.bin,5745152,5753832,8680,container,"in-house EZBIND"
126,/battle/bst063_mdl.bin,5753856,5775536,21680,container,"in-house EZBIND"
127,/battle/bst063_tex.bin,5775872,5784632,8760,container,"in-house EZBIND"
128,/battle/bst064_mdl.bin,5785088,5809048,23960,container,"in-house EZBIND"
129,/battle/bst064_tex.bin,5809152,5817640,8488,container,"in-house EZBIND"
130,/battle/bst065_mdl.bin,5817856,5841816,23960,container,"in-house EZBIND"
131,/battle/bst065_tex.bin,5841920,5850456,8536,container,"in-house EZBIND"
132,/battle/bst066_mdl.bin,5850624,5874584,23960,container,"in-house EZBIND"
133,/battle/bst066_tex.bin,5874688,5883256,8568,container,"in-house EZBIND"
134,/battle/bst06g_mdl.bin,5883392,5902488,19096,container,"in-house EZBIND"
135,/battle/bst06g_tex.bin,5902848,5907400,4552,container,"in-house EZBIND"
136,/battle/bt_common.bin,5907456,5928532,21076,container,"in-house EZBIND"
137,/battle/bt_result.bin,5928960,5940216,11256,container,"in-house EZBIND"
138,/battle/btleff.bin,5940224,5992256,52032,container,"in-house EZBIND"
139,/battle/btmap_001_mdl.bin,5992448,6063900,71452,container,"in-house EZBIND"
140,/battle/btmap_001_tex.bin,6064128,6106296,42168,container,"in-house EZBIND"
141,/battle/btmap_002_mdl.bin,6106624,6161720,55096,container,"in-house EZBIND"
142,/battle/btmap_002_tex.bin,6161920,6189936,28016,container,"in-house EZBIND"
143,/battle/btmap_003_mdl.bin,6190080,6233784,43704,container,"in-house EZBIND"
144,/battle/btmap_003_tex.bin,6234112,6267092,32980,container,"in-house EZBIND"
